nohup: ignoring input
baseline  0 0 ef 64 recall 0.92758 qps 1028.41787824636
route_priority equal_interval 8 2 ef 128 recall 0.9496 qps 471.37025218907326
route_priority equal_interval 8 2 ef 192 recall 0.95548 qps 347.51871792931564
route_priority equal_interval 8 2 ef 256 recall 0.95834 qps 275.01035789124086
route_priority equal_interval 8 2 ef 460 recall 0.96282 qps 171.59462999597605
route_priority equal_interval 8 4 ef 64 recall 0.92758 qps 789.0620005697839
route_priority equal_interval 8 4 ef 96 recall 0.94352 qps 590.7031425453287
route_priority equal_interval 8 4 ef 128 recall 0.9496 qps 470.0770652929356
route_priority equal_interval 8 4 ef 192 recall 0.95548 qps 345.49630457313816
route_priority equal_interval 8 4 ef 256 recall 0.95834 qps 276.05170961659707
route_priority equal_interval 8 4 ef 460 recall 0.96282 qps 170.89276187458896
route_priority equal_interval 8 8 ef 64 recall 0.92758 qps 755.1052039537404
route_priority equal_interval 8 8 ef 96 recall 0.94352 qps 565.9098419388456
route_priority equal_interval 8 8 ef 128 recall 0.9496 qps 448.920256060711
route_priority equal_interval 8 8 ef 192 recall 0.95548 qps 342.9527583672602
route_priority equal_interval 8 8 ef 256 recall 0.95834 qps 274.7439406886426
route_priority equal_interval 8 8 ef 460 recall 0.96282 qps 170.64075242720148
route_priority high_variance 8 2 ef 64 recall 0.92758 qps 773.735233255515
route_priority high_variance 8 2 ef 96 recall 0.94352 qps 583.8324736936405
route_priority high_variance 8 2 ef 128 recall 0.9496 qps 463.30505060838436
route_priority high_variance 8 2 ef 192 recall 0.95548 qps 340.61612779575216
route_priority high_variance 8 2 ef 256 recall 0.95834 qps 270.13878369473866
route_priority high_variance 8 2 ef 460 recall 0.96282 qps 168.54907893746432
route_priority high_variance 8 4 ef 64 recall 0.92758 qps 772.9826385571731
route_priority high_variance 8 4 ef 96 recall 0.94352 qps 582.0896529362583
route_priority high_variance 8 4 ef 128 recall 0.9496 qps 462.31422123036793
route_priority high_variance 8 4 ef 192 recall 0.95548 qps 340.04952621784594
route_priority high_variance 8 4 ef 256 recall 0.95834 qps 269.2209274100112
route_priority high_variance 8 4 ef 460 recall 0.96282 qps 168.24692948548886
route_priority high_variance 8 8 ef 64 recall 0.92758 qps 767.5096263272807
route_priority high_variance 8 8 ef 96 recall 0.94352 qps 579.2177722041368
route_priority high_variance 8 8 ef 128 recall 0.9496 qps 459.73225432211115
route_priority high_variance 8 8 ef 192 recall 0.95548 qps 338.54187598750696
route_priority high_variance 8 8 ef 256 recall 0.95834 qps 267.84090842969505
route_priority high_variance 8 8 ef 460 recall 0.96282 qps 167.4784700083046
route_priority short_code_selected 8 2 ef 64 recall 0.92758 qps 775.8884583093246
route_priority short_code_selected 8 2 ef 96 recall 0.94352 qps 585.5642824796904
route_priority short_code_selected 8 2 ef 128 recall 0.9496 qps 465.18144728617693
route_priority short_code_selected 8 2 ef 192 recall 0.95548 qps 341.78884133000696
route_priority short_code_selected 8 2 ef 256 recall 0.95834 qps 270.41248582873214
route_priority short_code_selected 8 2 ef 460 recall 0.96282 qps 168.98303970815593
route_priority short_code_selected 8 4 ef 64 recall 0.92758 qps 778.4543000613675
route_priority short_code_selected 8 4 ef 96 recall 0.94352 qps 582.5503182177981
route_priority short_code_selected 8 4 ef 128 recall 0.9496 qps 462.9768964678498
route_priority short_code_selected 8 4 ef 192 recall 0.95548 qps 340.8536878770111
route_priority short_code_selected 8 4 ef 256 recall 0.95834 qps 269.25049043320035
route_priority short_code_selected 8 4 ef 460 recall 0.96282 qps 167.6158007515799
route_priority short_code_selected 8 8 ef 64 recall 0.92758 qps 768.1961626912115
route_priority short_code_selected 8 8 ef 96 recall 0.94352 qps 578.373700551217
route_priority short_code_selected 8 8 ef 128 recall 0.9496 qps 458.38757072150867
route_priority short_code_selected 8 8 ef 192 recall 0.95548 qps 338.0829441179693
route_priority short_code_selected 8 8 ef 256 recall 0.95834 qps 268.1012453174224
route_priority short_code_selected 8 8 ef 460 recall 0.96282 qps 166.82708709986304
