dataset,layout,centroid_count,centroid_mode,M,efConstruction,ef,k,rerank_candidates,recall,qps,avg_latency_us,p50_us,p95_us,p99_us,visited_nodes,distance_computations,prepare_query_us,traversal_us,rerank_us,total_query_us,active_centroids,bytes_per_vector,quantization_mse,average_relative_distance_error,ns_per_distance,cycles_per_distance,run_index,graph_fingerprint,index_format_version
dbpedia_openai1536,sequential,8,eager,16,200,96,10,96,0.95894,665.609,1502.38,1501,1892,2139,1731.17,1731.17,77.0264,1183.88,241.503,1502.38,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,128,10,100,0.96596,552.848,1808.81,1811,2291,2596,2162.36,2162.36,77.3612,1477.55,253.861,1808.81,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,192,10,100,0.97282,418.773,2387.93,2383,3087,3602,2978.79,2978.79,77.7105,2051.76,258.372,2387.93,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,256,10,100,0.97662,345.472,2894.59,2904,3774,4218,3751.21,3751.21,77.6674,2554.27,262.528,2894.59,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,320,10,100,0.97846,293.987,3401.51,3408,4491,4941,4491.66,4491.66,77.8376,3055.73,267.8,3401.51,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,460,10,100,0.9819,223.423,4475.82,4477,6025,6658,6027.94,6027.94,78.003,4119.96,277.693,4475.82,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,eager,16,200,640,10,100,0.98354,172.949,5782.04,5801,7798,8517,7889.34,7889.34,78.0947,5411.86,291.903,5782.04,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,32,10,32,0.89534,1479.87,675.736,665,847,1000,790.837,790.837,13.5498,569.156,93.1071,675.736,7.9932,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,64,10,64,0.94058,937.969,1066.13,1064,1285,1469,1274.58,1274.58,13.8963,890.268,162.025,1066.13,7.996,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,96,10,96,0.95894,688.455,1452.53,1454,1764,1923,1731.17,1731.17,14.1075,1194.31,244.133,1452.53,7.9978,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,128,10,100,0.96596,569.457,1756.06,1757,2165,2302,2162.36,2162.36,14.2285,1487.25,254.58,1756.06,7.9982,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,192,10,100,0.97282,432.373,2312.82,2319,2929,3104,2978.79,2978.79,14.2947,2039.36,259.131,2312.82,7.9986,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,256,10,100,0.97662,352.1,2840.1,2844,3663,3891,3751.21,3751.21,14.3013,2562.02,263.697,2840.1,7.9986,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,320,10,100,0.97846,297.649,3359.66,3362,4395,4661,4491.66,4491.66,14.3299,3074.56,270.669,3359.66,7.9986,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,460,10,100,0.9819,225.733,4430.01,4425,5904,6284,6027.94,6027.94,14.358,4138.22,277.311,4430.01,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,8,lazy,16,200,640,10,100,0.98354,174.091,5744.11,5756,7759,8330,7889.34,7889.34,14.4119,5435.9,293.633,5744.11,8,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,32,10,32,0.89638,1307.1,765.054,753,974,1128,790.374,790.374,139.576,532.606,92.942,765.054,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,64,10,64,0.9414,853.11,1172.18,1169,1467,1689,1273.55,1273.55,140.727,870.704,160.802,1172.18,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,96,10,96,0.95828,629.254,1589.18,1580,1995,2348,1729.18,1729.18,140.988,1205.16,243.046,1589.18,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,128,10,100,0.96612,537.322,1861.08,1870,2324,2606,2159.98,2159.98,140.574,1466.26,254.24,1861.08,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,192,10,100,0.97314,411.788,2428.44,2440,3101,3445,2976.88,2976.88,141.071,2028.37,258.979,2428.44,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,256,10,100,0.9764,338.043,2958.2,2970,3830,4307,3749.81,3749.81,140.925,2554.34,262.867,2958.2,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,320,10,100,0.97854,288.301,3468.6,3480,4542,5050,4490.23,4490.23,141.05,3059.6,267.868,3468.6,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,460,10,100,0.98182,219.572,4554.32,4570,6081,6631,6026.77,6026.77,141.068,4134.58,278.578,4554.32,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,eager,16,200,640,10,100,0.98366,170.956,5849.47,5886,7899,8512,7889.2,7889.2,141.172,5416.35,291.83,5849.47,16,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,32,10,32,0.89638,1378.22,725.574,716,896,1039,790.374,790.374,13.7943,617.423,94.4354,725.574,14.5574,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,64,10,64,0.9414,894.505,1117.94,1118,1335,1494,1273.55,1273.55,13.9998,943.376,160.6,1117.94,14.7898,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,96,10,96,0.95828,663.593,1506.95,1510,1815,1941,1729.18,1729.18,13.9806,1251.77,241.214,1506.95,14.9444,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,128,10,100,0.96612,552.465,1810.07,1814,2220,2351,2159.98,2159.98,14.2454,1542.25,253.551,1810.07,15.051,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,192,10,100,0.97314,422.344,2367.74,2375,2985,3148,2976.88,2976.88,14.3294,2094.59,258.773,2367.74,15.2216,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,256,10,100,0.9764,344.192,2905.35,2911,3738,3961,3749.81,3749.81,14.3356,2624.75,266.173,2905.35,15.3454,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
dbpedia_openai1536,sequential,16,lazy,16,200,320,10,100,0.97854,292.367,3420.35,3428,4456,4722,4490.23,4490.23,14.3888,3136.42,269.426,3420.35,15.4366,1041,unavailable,unavailable,unavailable,unavailable,0,10578023270251871138,EXRBTQ31
